customer_id,full_name,country,risk_rating,onboarded_at,business_activity,trade_lic_number
C9201,Apex Imports LLC,US,medium,2025-04-27T12:00:00,import_export,US-IMP-2024-C9201
C9202,Apex Exports Pte,SG,medium,2025-05-17T12:00:00,import_export,SG-EXP-2024-C9202
C9203,Vanguard Trading Corp,US,medium,2025-08-05T12:00:00,wholesale,US-WHL-2024-C9203
C9204,Continental Trade Group,US,medium,2025-09-24T12:00:00,commodities,US-COM-2024-C9204
C9205,Meridian Resources Ltd,US,high,2025-06-16T12:00:00,commodities,US-COM-2024-C9205
C9206,Trade Customer 6,US,low,2025-08-05T12:00:00,import_export,US-TRD-2024-9206
C9207,Trade Customer 7,US,low,2025-08-01T12:00:00,import_export,US-TRD-2024-9207
C9208,Trade Customer 8,US,low,2025-07-28T12:00:00,import_export,US-TRD-2024-9208
C9209,Trade Customer 9,US,low,2025-07-24T12:00:00,import_export,US-TRD-2024-9209
C9210,Trade Customer 10,US,low,2025-07-20T12:00:00,import_export,US-TRD-2024-9210
C9211,Trade Customer 11,US,low,2025-07-16T12:00:00,import_export,US-TRD-2024-9211
C9212,Trade Customer 12,US,low,2025-07-12T12:00:00,import_export,US-TRD-2024-9212
C9213,Trade Customer 13,US,low,2025-07-08T12:00:00,import_export,US-TRD-2024-9213
C9214,Trade Customer 14,US,low,2025-07-04T12:00:00,import_export,US-TRD-2024-9214
C9215,Trade Customer 15,US,low,2025-06-30T12:00:00,import_export,US-TRD-2024-9215
C9216,Trade Customer 16,US,low,2025-06-26T12:00:00,import_export,US-TRD-2024-9216
C9217,Trade Customer 17,US,low,2025-06-22T12:00:00,import_export,US-TRD-2024-9217
C9218,Trade Customer 18,US,low,2025-06-18T12:00:00,import_export,US-TRD-2024-9218
C9219,Trade Customer 19,US,low,2025-06-14T12:00:00,import_export,US-TRD-2024-9219
C9220,Trade Customer 20,US,low,2025-06-10T12:00:00,import_export,US-TRD-2024-9220
C9221,Trade Customer 21,US,low,2025-06-06T12:00:00,import_export,US-TRD-2024-9221
C9222,Trade Customer 22,US,low,2025-06-02T12:00:00,import_export,US-TRD-2024-9222
C9223,Trade Customer 23,US,low,2025-05-29T12:00:00,import_export,US-TRD-2024-9223
C9224,Trade Customer 24,US,low,2025-05-25T12:00:00,import_export,US-TRD-2024-9224
C9225,Trade Customer 25,US,low,2025-05-21T12:00:00,import_export,US-TRD-2024-9225
C9226,Trade Customer 26,US,low,2025-05-17T12:00:00,import_export,US-TRD-2024-9226
C9227,Trade Customer 27,US,low,2025-05-13T12:00:00,import_export,US-TRD-2024-9227
C9228,Trade Customer 28,US,low,2025-05-09T12:00:00,import_export,US-TRD-2024-9228
C9229,Trade Customer 29,US,low,2025-05-05T12:00:00,import_export,US-TRD-2024-9229
