txn_id,customer_id,amount,currency,channel,direction,booked_at,purpose_code,counterparty_country,invoice_id,invoice_amount,declared_unit_price,declared_quantity,hs_code
T90000000,C9201,20000.00,USD,wire,out,2026-05-27T01:00:00,TRAD,DE,INV-CORRIDOR-005-IMP,20000.00,2000.00,10,8471.30
T90000001,C9201,20000.00,USD,wire,out,2026-05-20T01:00:00,TRAD,DE,INV-CORRIDOR-012-IMP,20000.00,2000.00,10,8471.30
T90000002,C9202,25000.00,USD,wire,out,2026-05-26T00:00:00,TRAD,US,INV-CORRIDOR-005-EXP,25000.00,200.00,125,8471.30
T90000003,C9202,25000.00,USD,wire,out,2026-05-19T00:00:00,TRAD,US,INV-CORRIDOR-012-EXP,25000.00,200.00,125,8471.30
T90000004,C9203,22000.00,USD,wire,out,2026-05-28T22:00:00,TRAD,HK,,,,,
T90000005,C9203,18000.00,USD,wire,out,2026-05-21T22:00:00,TRAD,HK,,,,,
T90000006,C9203,20000.00,USD,wire,out,2026-05-11T22:00:00,TRAD,HK,,,,,
T90000007,C9204,30000.00,USD,wire,out,2026-05-30T02:00:00,TRAD,SG,INV-DUP-2026-C9204-001,30000.00,,,
T90000008,C9204,30000.00,USD,wire,out,2026-05-24T02:00:00,TRAD,SG,INV-DUP-2026-C9204-001,30000.00,,,
T90000009,C9205,30000.00,USD,wire,out,2026-05-28T03:00:00,TRAD,RU,,,,,
T90000010,C9205,30000.00,USD,wire,out,2026-05-21T03:00:00,TRAD,RU,,,,,
T90000011,C9206,600.00,USD,wire,out,2026-05-20T02:00:00,TRAD,DE,INV-BG-0011,600.00,50.00,12,6203.42
T90000012,C9207,15000.00,USD,wire,out,2026-05-19T02:00:00,TRAD,DE,INV-BG-0012,15000.00,15000.00,1,8703.21
T90000013,C9208,20000.00,USD,wire,out,2026-05-18T02:00:00,TRAD,DE,INV-BG-0013,20000.00,5.00,4000,2710.19
T90000014,C9209,600.00,USD,wire,out,2026-05-17T02:00:00,TRAD,DE,INV-BG-0014,600.00,50.00,12,6203.42
T90000015,C9210,15000.00,USD,wire,out,2026-05-16T02:00:00,TRAD,DE,INV-BG-0015,15000.00,15000.00,1,8703.21
T90000016,C9211,20000.00,USD,wire,out,2026-05-15T02:00:00,TRAD,DE,INV-BG-0016,20000.00,5.00,4000,2710.19
T90000017,C9212,600.00,USD,wire,out,2026-05-14T02:00:00,TRAD,DE,INV-BG-0017,600.00,50.00,12,6203.42
T90000018,C9213,15000.00,USD,wire,out,2026-05-13T02:00:00,TRAD,DE,INV-BG-0018,15000.00,15000.00,1,8703.21
T90000019,C9214,20000.00,USD,wire,out,2026-05-12T02:00:00,TRAD,DE,INV-BG-0019,20000.00,5.00,4000,2710.19
T90000020,C9215,600.00,USD,wire,out,2026-05-11T02:00:00,TRAD,DE,INV-BG-0020,600.00,50.00,12,6203.42
T90000021,C9216,15000.00,USD,wire,out,2026-05-10T02:00:00,TRAD,DE,INV-BG-0021,15000.00,15000.00,1,8703.21
T90000022,C9217,20000.00,USD,wire,out,2026-05-09T02:00:00,TRAD,DE,INV-BG-0022,20000.00,5.00,4000,2710.19
T90000023,C9218,600.00,USD,wire,out,2026-05-08T02:00:00,TRAD,DE,INV-BG-0023,600.00,50.00,12,6203.42
T90000024,C9219,15000.00,USD,wire,out,2026-05-07T02:00:00,TRAD,DE,INV-BG-0024,15000.00,15000.00,1,8703.21
T90000025,C9220,20000.00,USD,wire,out,2026-05-06T02:00:00,TRAD,DE,INV-BG-0025,20000.00,5.00,4000,2710.19
T90000026,C9221,600.00,USD,wire,out,2026-05-05T02:00:00,TRAD,DE,INV-BG-0026,600.00,50.00,12,6203.42
T90000027,C9222,15000.00,USD,wire,out,2026-05-04T02:00:00,TRAD,DE,INV-BG-0027,15000.00,15000.00,1,8703.21
T90000028,C9223,20000.00,USD,wire,out,2026-05-03T02:00:00,TRAD,DE,INV-BG-0028,20000.00,5.00,4000,2710.19
T90000029,C9224,600.00,USD,wire,out,2026-05-02T02:00:00,TRAD,DE,INV-BG-0029,600.00,50.00,12,6203.42
T90000030,C9225,15000.00,USD,wire,out,2026-05-01T02:00:00,TRAD,DE,INV-BG-0030,15000.00,15000.00,1,8703.21
T90000031,C9226,20000.00,USD,wire,out,2026-04-30T02:00:00,TRAD,DE,INV-BG-0031,20000.00,5.00,4000,2710.19
T90000032,C9227,600.00,USD,wire,out,2026-04-29T02:00:00,TRAD,DE,INV-BG-0032,600.00,50.00,12,6203.42
T90000033,C9228,15000.00,USD,wire,out,2026-04-28T02:00:00,TRAD,DE,INV-BG-0033,15000.00,15000.00,1,8703.21
T90000034,C9229,20000.00,USD,wire,out,2026-04-27T02:00:00,TRAD,DE,INV-BG-0034,20000.00,5.00,4000,2710.19
