txn_id,customer_id,amount,currency,channel,direction,booked_at,purpose_code,counterparty_account,counterparty_name,counterparty_sort_code,payee_first_use,customer_session_id,confirmation_of_payee_status
T90000000,C9101,1500.00,GBP,faster_payments,out,2026-06-01T06:00:00,,,HMRC Refund Dept,,True,SESS-C9101-1,
T90000001,C9102,6000.00,GBP,faster_payments,out,2026-05-31T22:00:00,,,Safe Account Holdings,,False,SESS-C9102-1,
T90000002,C9103,150.00,GBP,faster_payments,out,2026-05-30T02:00:00,,,Unverified Payee,,False,SESS-C9103-2,no_match
T90000003,C9103,200.00,GBP,faster_payments,out,2026-05-28T02:00:00,,,Unverified Payee,,False,SESS-C9103-4,no_match
T90000004,C9104,2000.00,GBP,faster_payments,in,2026-05-31T00:00:00,,,Victim Source,,False,,
T90000005,C9104,1700.00,GBP,faster_payments,out,2026-05-31T00:30:00,,,Onward Mule,,False,SESS-C9104-1,
T90000006,C9105,80.00,GBP,faster_payments,in,2026-05-25T01:00:00,,,Known Payee 6,,False,,match
T90000007,C9105,175.00,GBP,faster_payments,out,2026-05-24T01:00:00,,,Known Payee 7,,False,,match
T90000008,C9106,320.00,GBP,faster_payments,in,2026-05-23T01:00:00,,,Known Payee 8,,False,,match
T90000009,C9106,610.00,GBP,faster_payments,out,2026-05-22T01:00:00,,,Known Payee 9,,False,,match
T90000010,C9107,940.00,GBP,faster_payments,in,2026-05-21T01:00:00,,,Known Payee 10,,False,,match
T90000011,C9107,1450.00,GBP,faster_payments,out,2026-05-20T01:00:00,,,Known Payee 11,,False,,match
T90000012,C9108,80.00,GBP,faster_payments,in,2026-05-19T01:00:00,,,Known Payee 0,,False,,match
T90000013,C9108,175.00,GBP,faster_payments,out,2026-05-18T01:00:00,,,Known Payee 1,,False,,match
T90000014,C9109,320.00,GBP,faster_payments,in,2026-05-17T01:00:00,,,Known Payee 2,,False,,match
T90000015,C9109,610.00,GBP,faster_payments,out,2026-05-16T01:00:00,,,Known Payee 3,,False,,match
T90000016,C9110,940.00,GBP,faster_payments,in,2026-05-15T01:00:00,,,Known Payee 4,,False,,match
T90000017,C9110,1450.00,GBP,faster_payments,out,2026-05-14T01:00:00,,,Known Payee 5,,False,,match
T90000018,C9111,80.00,GBP,faster_payments,in,2026-05-13T01:00:00,,,Known Payee 6,,False,,match
T90000019,C9111,175.00,GBP,faster_payments,out,2026-05-12T01:00:00,,,Known Payee 7,,False,,match
T90000020,C9112,320.00,GBP,faster_payments,in,2026-05-11T01:00:00,,,Known Payee 8,,False,,match
T90000021,C9112,610.00,GBP,faster_payments,out,2026-05-10T01:00:00,,,Known Payee 9,,False,,match
T90000022,C9113,940.00,GBP,faster_payments,in,2026-05-09T01:00:00,,,Known Payee 10,,False,,match
T90000023,C9113,1450.00,GBP,faster_payments,out,2026-05-08T01:00:00,,,Known Payee 11,,False,,match
T90000024,C9114,80.00,GBP,faster_payments,in,2026-05-07T01:00:00,,,Known Payee 0,,False,,match
T90000025,C9114,175.00,GBP,faster_payments,out,2026-05-06T01:00:00,,,Known Payee 1,,False,,match
T90000026,C9115,320.00,GBP,faster_payments,in,2026-05-05T01:00:00,,,Known Payee 2,,False,,match
T90000027,C9115,610.00,GBP,faster_payments,out,2026-05-04T01:00:00,,,Known Payee 3,,False,,match
T90000028,C9116,940.00,GBP,faster_payments,in,2026-05-03T01:00:00,,,Known Payee 4,,False,,match
T90000029,C9116,1450.00,GBP,faster_payments,out,2026-05-02T01:00:00,,,Known Payee 5,,False,,match
T90000030,C9117,80.00,GBP,faster_payments,in,2026-05-01T01:00:00,,,Known Payee 6,,False,,match
T90000031,C9117,175.00,GBP,faster_payments,out,2026-04-30T01:00:00,,,Known Payee 7,,False,,match
T90000032,C9118,320.00,GBP,faster_payments,in,2026-04-29T01:00:00,,,Known Payee 8,,False,,match
T90000033,C9118,610.00,GBP,faster_payments,out,2026-04-28T01:00:00,,,Known Payee 9,,False,,match
T90000034,C9119,940.00,GBP,faster_payments,in,2026-04-27T01:00:00,,,Known Payee 10,,False,,match
T90000035,C9119,1450.00,GBP,faster_payments,out,2026-04-26T01:00:00,,,Known Payee 11,,False,,match
T90000036,C9120,80.00,GBP,faster_payments,in,2026-04-25T01:00:00,,,Known Payee 0,,False,,match
T90000037,C9120,175.00,GBP,faster_payments,out,2026-04-24T01:00:00,,,Known Payee 1,,False,,match
T90000038,C9121,320.00,GBP,faster_payments,in,2026-04-23T01:00:00,,,Known Payee 2,,False,,match
T90000039,C9121,610.00,GBP,faster_payments,out,2026-04-22T01:00:00,,,Known Payee 3,,False,,match
T90000040,C9122,940.00,GBP,faster_payments,in,2026-05-31T01:00:00,,,Known Payee 4,,False,,match
T90000041,C9122,1450.00,GBP,faster_payments,out,2026-05-30T01:00:00,,,Known Payee 5,,False,,match
