txn_id,customer_id,amount,currency,channel,direction,booked_at,counterparty_id,counterparty_name,counterparty_bic,cop_match_status
T90000000,C9001,7500.00,USD,rtp,out,2026-06-01T01:00:00,CP-RTP-NEW-001,Romance Contact LLC,,match
T90000001,C9002,400.00,USD,rtp,in,2026-06-01T11:05:00,CP-RTP-IN-000,,,match
T90000002,C9002,350.00,USD,rtp,in,2026-06-01T11:13:00,CP-RTP-IN-001,,,match
T90000003,C9002,480.00,USD,rtp,in,2026-06-01T11:21:00,CP-RTP-IN-002,,,match
T90000004,C9002,410.00,USD,rtp,in,2026-06-01T11:29:00,CP-RTP-IN-003,,,match
T90000005,C9002,390.00,USD,rtp,in,2026-06-01T11:37:00,CP-RTP-IN-004,,,match
T90000006,C9002,460.00,USD,rtp,in,2026-06-01T11:45:00,CP-RTP-IN-005,,,match
T90000007,C9003,300.00,USD,rtp,out,2026-05-29T22:00:00,CP-RTP-RAMP-001,,,match
T90000008,C9003,400.00,USD,rtp,out,2026-05-27T22:00:00,CP-RTP-RAMP-001,,,match
T90000009,C9003,450.00,USD,rtp,out,2026-05-24T22:00:00,CP-RTP-RAMP-001,,,match
T90000010,C9003,400.00,USD,rtp,out,2026-05-21T22:00:00,CP-RTP-RAMP-001,,,match
T90000011,C9004,250.00,USD,rtp,in,2026-06-01T09:00:00,CP-RTP-RING-01,,,match
T90000012,C9005,300.00,USD,rtp,in,2026-06-01T08:00:00,CP-RTP-RING-02,,,match
T90000013,C9006,350.00,USD,rtp,in,2026-06-01T07:00:00,CP-RTP-RING-03,,,match
T90000014,C9007,400.00,USD,rtp,in,2026-06-01T06:00:00,CP-RTP-RING-04,,,match
T90000015,C9008,880.00,USD,fednow,in,2026-05-16T12:00:00,CP-RTP-BG-003,,,match
T90000016,C9008,1300.00,USD,rtp,out,2026-05-16T12:00:00,CP-RTP-BG-004,,,match
T90000017,C9009,2100.00,USD,fednow,in,2026-05-14T12:00:00,CP-RTP-BG-005,,,match
T90000018,C9009,120.00,USD,rtp,out,2026-05-14T12:00:00,CP-RTP-BG-006,,,match
T90000019,C9010,260.00,USD,fednow,in,2026-05-12T12:00:00,CP-RTP-BG-007,,,match
T90000020,C9010,540.00,USD,rtp,out,2026-05-12T12:00:00,CP-RTP-BG-008,,,match
T90000021,C9011,880.00,USD,fednow,in,2026-05-10T12:00:00,CP-RTP-BG-009,,,match
T90000022,C9011,1300.00,USD,rtp,out,2026-05-10T12:00:00,CP-RTP-BG-010,,,match
T90000023,C9012,2100.00,USD,fednow,in,2026-05-08T12:00:00,CP-RTP-BG-011,,,match
T90000024,C9012,120.00,USD,rtp,out,2026-05-08T12:00:00,CP-RTP-BG-000,,,match
T90000025,C9013,260.00,USD,fednow,in,2026-05-06T12:00:00,CP-RTP-BG-001,,,match
T90000026,C9013,540.00,USD,rtp,out,2026-05-06T12:00:00,CP-RTP-BG-002,,,match
T90000027,C9014,880.00,USD,fednow,in,2026-05-04T12:00:00,CP-RTP-BG-003,,,match
T90000028,C9014,1300.00,USD,rtp,out,2026-05-04T12:00:00,CP-RTP-BG-004,,,match
T90000029,C9015,2100.00,USD,fednow,in,2026-05-02T12:00:00,CP-RTP-BG-005,,,match
T90000030,C9015,120.00,USD,rtp,out,2026-05-02T12:00:00,CP-RTP-BG-006,,,match
T90000031,C9016,260.00,USD,fednow,in,2026-04-30T12:00:00,CP-RTP-BG-007,,,match
T90000032,C9016,540.00,USD,rtp,out,2026-04-30T12:00:00,CP-RTP-BG-008,,,match
T90000033,C9017,880.00,USD,fednow,in,2026-04-28T12:00:00,CP-RTP-BG-009,,,match
T90000034,C9017,1300.00,USD,rtp,out,2026-04-28T12:00:00,CP-RTP-BG-010,,,match
T90000035,C9018,2100.00,USD,fednow,in,2026-04-26T12:00:00,CP-RTP-BG-011,,,match
T90000036,C9018,120.00,USD,rtp,out,2026-04-26T12:00:00,CP-RTP-BG-000,,,match
T90000037,C9019,260.00,USD,fednow,in,2026-04-24T12:00:00,CP-RTP-BG-001,,,match
T90000038,C9019,540.00,USD,rtp,out,2026-04-24T12:00:00,CP-RTP-BG-002,,,match
T90000039,C9020,880.00,USD,fednow,in,2026-04-22T12:00:00,CP-RTP-BG-003,,,match
T90000040,C9020,1300.00,USD,rtp,out,2026-04-22T12:00:00,CP-RTP-BG-004,,,match
T90000041,C9021,2100.00,USD,fednow,in,2026-05-30T12:00:00,CP-RTP-BG-005,,,match
T90000042,C9021,120.00,USD,rtp,out,2026-05-30T12:00:00,CP-RTP-BG-006,,,match
T90000043,C9022,260.00,USD,fednow,in,2026-05-28T12:00:00,CP-RTP-BG-007,,,match
T90000044,C9022,540.00,USD,rtp,out,2026-05-28T12:00:00,CP-RTP-BG-008,,,match
T90000045,C9023,880.00,USD,fednow,in,2026-05-26T12:00:00,CP-RTP-BG-009,,,match
T90000046,C9023,1300.00,USD,rtp,out,2026-05-26T12:00:00,CP-RTP-BG-010,,,match
T90000047,C9024,2100.00,USD,fednow,in,2026-05-24T12:00:00,CP-RTP-BG-011,,,match
T90000048,C9024,120.00,USD,rtp,out,2026-05-24T12:00:00,CP-RTP-BG-000,,,match
T90000049,C9025,260.00,USD,fednow,in,2026-05-22T12:00:00,CP-RTP-BG-001,,,match
T90000050,C9025,540.00,USD,rtp,out,2026-05-22T12:00:00,CP-RTP-BG-002,,,match
T90000051,C9026,880.00,USD,fednow,in,2026-05-20T12:00:00,CP-RTP-BG-003,,,match
T90000052,C9026,1300.00,USD,rtp,out,2026-05-20T12:00:00,CP-RTP-BG-004,,,match
T90000053,C9027,2100.00,USD,fednow,in,2026-05-18T12:00:00,CP-RTP-BG-005,,,match
T90000054,C9027,120.00,USD,rtp,out,2026-05-18T12:00:00,CP-RTP-BG-006,,,match
T90000055,C9028,260.00,USD,fednow,in,2026-05-16T12:00:00,CP-RTP-BG-007,,,match
T90000056,C9028,540.00,USD,rtp,out,2026-05-16T12:00:00,CP-RTP-BG-008,,,match
T90000057,C9029,880.00,USD,fednow,in,2026-05-14T12:00:00,CP-RTP-BG-009,,,match
T90000058,C9029,1300.00,USD,rtp,out,2026-05-14T12:00:00,CP-RTP-BG-010,,,match
